EMD_CD,EMD_NM,PRED_DATETIME,COLLECTED_AT,PRED_SEVERITY,RISK_LEVEL,AVG_ELEVATION,MIN_ELEVATION,MAX_ELEVATION,FLOOD_COUNT,AVG_SHIM,MAX_SHIM,AVG_AREA,TOTAL_SCALE,AVG_DEPTH_PER_AREA,RECENT_YR,AVG_WATL,MAX_WATL,SENSOR_COUNT,AVG_RN1,MAX_RN1,TOTAL_RN1,UPDATE_TIME,RISK_LEVEL_NUM
11110171,명륜2가,2026-06-09 12:51,2026-06-09 09:51,1.379939205339186e-11,안전,36.71548781818182,32.587196,43.391216,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110101,청운동,2026-06-09 12:51,2026-06-09 09:51,1.653454710734332e-11,안전,115.61918226373626,45.502876,291.55167,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110111,옥인동,2026-06-09 12:51,2026-06-09 09:51,1.653454710734332e-11,안전,151.2469854509804,42.29427,310.1492,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110130,와룡동,2026-06-09 12:51,2026-06-09 09:51,1.379939205339186e-11,안전,49.938363192771085,25.667559,95.61229,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110148,계동,2026-06-09 12:51,2026-06-09 09:51,-1.6685582121058286e-10,안전,54.131057166666665,34.175987,82.77255,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110149,원서동,2026-06-09 12:51,2026-06-09 09:51,-1.4438896057273536e-10,안전,66.75511468421053,37.603218,145.88368,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110173,명륜3가,2026-06-09 12:51,2026-06-09 09:51,-2.4046001881269256e-10,안전,89.01253331914893,34.83638,172.51984,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110170,명륜1가,2026-06-09 12:51,2026-06-09 09:51,-1.6685582121058286e-10,안전,57.31182118181818,36.646355,82.842575,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110147,재동,2026-06-09 12:51,2026-06-09 09:51,1.379939205339186e-11,안전,37.222883875,34.050755,41.56977,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110110,누하동,2026-06-09 12:51,2026-06-09 09:51,1.379939205339186e-11,안전,47.526427875,41.17576,61.261364,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
