EMD_CD,EMD_NM,PRED_SEVERITY,RISK_LEVEL,AVG_RN1,TOTAL_RN1,AVG_WATL,AVG_ELEVATION,DONG_AREA_KM2
11305103,수유동,0.0046,주의,0.0,0.0,0.0,145.80201167995443,7.668089391489455
11320105,쌍문동,0.0,안전,0.0,0.0,0.0,47.137618331269344,2.784858828785717
11320107,창동,0.0,안전,0.0,0.0,0.0,31.86638329531568,4.264602580911979
11320106,방학동,0.0,안전,0.0,0.0,0.0,60.442240399572654,4.06848101796554
11320108,도봉동,0.0,안전,0.0,0.0,0.0,193.7200785241568,9.56078399392124
11350103,공릉동,0.0,안전,0.0,0.0,0.0,47.882886341798944,8.24054282491811
11350104,하계동,0.0,안전,0.0,0.0,0.0,31.58127310869565,2.025272854078978
11350106,중계동,0.0,안전,0.0,0.0,0.0,88.11644848247079,5.246776610701752
11350105,상계동,0.0,안전,0.0,0.0,0.0,117.78528802544248,15.8022312575457
11350102,월계동,0.0,안전,0.0,0.0,0.0,35.674769329938904,4.28754069985204
11380106,대조동,0.0,안전,0.0,0.0,0.0,26.98773191752577,0.8513568577659474
11380114,진관동,0.0,안전,0.0,0.0,0.0,124.57393746793892,11.564780925895844
11380104,갈현동,0.0,안전,0.0,0.0,0.0,65.82568298660713,1.945573038481823
11380105,구산동,0.0,안전,0.0,0.0,0.0,67.25069030188679,1.3889823750264123
11380103,불광동,0.0,안전,0.0,0.0,0.0,115.99282774856046,4.51794721594293
11380110,증산동,0.0,안전,0.0,0.0,0.0,34.70412368085106,0.8090983755335901
11380109,신사동,0.0,안전,0.0,0.0,0.0,56.88438163809524,1.8529072502901105
11380102,녹번동,0.0,안전,0.0,0.0,0.0,59.417256897560975,1.7935035110668407
11380107,응암동,0.0,안전,0.0,0.0,0.0,41.06321628595318,2.6171265231346026
11380108,역촌동,0.0,안전,0.0,0.0,0.0,28.092671156716417,1.1564236645742818
11380101,수색동,0.0,안전,0.0,0.0,0.0,43.01244903521127,1.2917989202115352
11410109,현저동,0.0,안전,0.0,0.0,0.0,104.08591756451612,0.5281120058481886
11410103,합동,0.0,안전,0.0,0.0,0.0,38.13539383333333,0.043437611332261
11410117,연희동,0.0,안전,0.0,0.0,0.0,53.05226410144928,3.0108667478904687
11410104,미근동,0.0,안전,0.0,0.0,0.0,34.117339625,0.0773979249428481
11410114,신촌동,0.0,안전,0.0,0.0,0.0,68.72047851546392,0.8634136370498529
11410110,북아현동,0.0,안전,0.0,0.0,0.0,75.60519269672132,1.0757396734023803
11410115,봉원동,0.0,안전,0.0,0.0,0.0,163.84411260416667,0.4313016352406295
11410112,대현동,0.0,안전,0.0,0.0,0.0,54.52551940384616,0.4652993172636537
11410101,충정로2가,0.0,안전,0.0,0.0,0.0,52.955597352941176,0.1272906406958034
11410105,냉천동,0.0,안전,0.0,0.0,0.0,51.456742090909096,0.1151631464534127
