EMD_CD,EMD_NM,DONG_AREA_M2,DONG_AREA_KM2
11140169,의주로1가,26843.619587393187,0.026843619587393185
11140170,충정로1가,33610.801024004446,0.03361080102400445
11140171,중림동,227682.43384432408,0.22768243384432407
11140172,의주로2가,39625.06311385856,0.03962506311385856
11140173,만리동1가,69908.33211505787,0.06990833211505787
11140174,만리동2가,143972.7398956563,0.1439727398956563
11170101,후암동,866260.8180180489,0.8662608180180489
11170102,용산동2가,1172070.2011050181,1.1720702011050181
11170103,용산동4가,793476.3663915247,0.7934763663915246
11170104,갈월동,223359.55908528212,0.22335955908528213
11170105,남영동,65036.379167550855,0.06503637916755085
11170106,용산동1가,605627.3150304799,0.60562731503048
11170107,동자동,288286.22301792994,0.28828622301792994
11170108,서계동,250847.92386806518,0.2508479238680652
11170109,청파동1가,196139.39596728963,0.19613939596728963
11170110,청파동2가,223147.5437342447,0.22314754373424472
11170111,청파동3가,230419.40600582765,0.23041940600582766
11170112,원효로1가,205626.42606487262,0.2056264260648726
11170113,원효로2가,130882.65931753996,0.13088265931753995
11170114,신창동,62424.79990510063,0.062424799905100636
11170115,산천동,97511.74676329321,0.0975117467632932
11170116,청암동,71436.37994160886,0.07143637994160885
11170117,원효로3가,159259.45273496205,0.15925945273496206
11170118,원효로4가,310984.4716731213,0.3109844716731213
11170119,효창동,443192.321983129,0.443192321983129
11170120,도원동,88557.24581443882,0.08855724581443883
11170121,용문동,191365.27404447508,0.1913652740444751
11170122,문배동,113170.93926265754,0.11317093926265755
11170123,신계동,144026.94139849176,0.14402694139849176
11170124,한강로1가,238290.2642753969,0.2382902642753969
11170125,한강로2가,447328.7294673691,0.44732872946736907
11170126,용산동3가,335263.82220221875,0.33526382220221873
11170127,용산동5가,691574.739122661,0.691574739122661
11170128,한강로3가,1192117.2066155754,1.1921172066155754
11170129,이촌동,4078033.9535475196,4.07803395354752
11170130,이태원동,1438812.0164104854,1.4388120164104854
11170131,한남동,3026493.5758914067,3.026493575891407
11170132,동빙고동,404261.91307725833,0.40426191307725834
11170133,서빙고동,792319.659582649,0.792319659582649
11170134,주성동,172186.56883275986,0.17218656883275987
11170135,용산동6가,1438090.246110861,1.438090246110861
11170136,보광동,712453.1484314845,0.7124531484314844
11200101,상왕십리동,151162.12148075574,0.15116212148075575
11200102,하왕십리동,623002.680276513,0.623002680276513
11200103,홍익동,173179.73733144687,0.17317973733144687
11200104,도선동,137355.73563007,0.13735573563007
11200105,마장동,1054034.232224229,1.054034232224229
11200106,사근동,673415.0926389422,0.6734150926389422
11200107,행당동,1498006.7803404962,1.4980067803404962
11200108,응봉동,558165.4904202134,0.5581654904202135
11200109,금호동1가,443084.979146645,0.443084979146645
11200110,금호동2가,302677.38169930276,0.30267738169930275
11200111,금호동3가,327534.9721672044,0.32753497216720445
11200112,금호동4가,801574.6204752917,0.8015746204752917
11200113,옥수동,1962100.2883711578,1.9621002883711578
11200114,성수동1가,2856858.108705161,2.856858108705161
11200115,성수동2가,2232091.9427416795,2.2320919427416794
11200118,송정동,1442328.0035323391,1.4423280035323391
11200122,용답동,1588306.7542438188,1.5883067542438187
11215101,중곡동,4087633.885684173,4.087633885684173
11215102,능동,1101356.4341348924,1.1013564341348925
11215103,구의동,3004394.929911126,3.004394929911126
11215104,광장동,2393516.2836713563,2.393516283671356
11215105,자양동,4608184.427334447,4.608184427334447
11215107,화양동,1130099.2556925938,1.1300992556925937
11215109,군자동,734087.9182765916,0.7340879182765916
11230101,신설동,341367.22573544027,0.34136722573544026
11230102,용두동,1273422.2580697886,1.2734222580697885
11230103,제기동,1189964.364092784,1.189964364092784
11230104,전농동,2054240.2548000212,2.054240254800021
11230105,답십리동,1659488.9582900477,1.6594889582900476
11230106,장안동,2333552.530482036,2.333552530482036
11230107,청량리동,1199248.9109869439,1.199248910986944
11230108,회기동,766963.0954119497,0.7669630954119496
11230109,휘경동,1688516.9862237573,1.6885169862237572
11230110,이문동,1740340.8381641763,1.7403408381641763
11260101,면목동,6015541.9075235585,6.015541907523558
11260102,상봉동,1530543.8318746295,1.5305438318746294
