EMD_CD,EMD_NM,PRED_DATETIME,COLLECTED_AT,PRED_SEVERITY,RISK_LEVEL
11230110,이문동,2026-06-09 06:03,2026-06-09 03:03,-6.112310404581955e-11,안전
11230103,제기동,2026-06-09 06:03,2026-06-09 03:03,-1.4904133432895612e-10,안전
11230105,답십리동,2026-06-09 06:03,2026-06-09 03:03,-1.7437454529596106e-10,안전
11230104,전농동,2026-06-09 06:03,2026-06-09 03:03,5.735403525344365e-11,안전
11230108,회기동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11260103,중화동,2026-06-09 06:03,2026-06-09 03:03,1.7867171923003888e-10,안전
11260102,상봉동,2026-06-09 06:03,2026-06-09 03:03,5.735403525344365e-11,안전
11260104,묵동,2026-06-09 06:03,2026-06-09 03:03,2.19772736813143e-10,안전
11260101,면목동,2026-06-09 06:03,2026-06-09 03:03,-1.1650615588143795e-10,안전
11260105,망우동,2026-06-09 06:03,2026-06-09 03:03,-1.0083431737268367e-10,안전
11260106,신내동,2026-06-09 06:03,2026-06-09 03:03,5.735403525344365e-11,안전
11290102,성북동1가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11290111,삼선동1가,2026-06-09 06:03,2026-06-09 03:03,-1.4438896057273536e-10,안전
11290101,성북동,2026-06-09 06:03,2026-06-09 03:03,1.653454710734332e-11,안전
11290109,동소문동6가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11290139,석관동,2026-06-09 06:03,2026-06-09 03:03,2.994568791444377e-10,안전
11290126,보문동4가,2026-06-09 06:03,2026-06-09 03:03,-1.5045215787772187e-10,안전
11290127,보문동5가,2026-06-09 06:03,2026-06-09 03:03,-6.708170758569283e-11,안전
11290106,동소문동3가,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11290108,동소문동5가,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11290107,동소문동4가,2026-06-09 06:03,2026-06-09 03:03,1.7469937822627085e-11,안전
11290110,동소문동7가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11290130,보문동1가,2026-06-09 06:03,2026-06-09 03:03,-6.708170758569283e-11,안전
11290115,삼선동5가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11290134,길음동,2026-06-09 06:03,2026-06-09 03:03,1.2190379810283365e-07,안전
11290114,삼선동4가,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11290103,돈암동,2026-06-09 06:03,2026-06-09 03:03,2.883812759551265e-08,안전
11290129,보문동7가,2026-06-09 06:03,2026-06-09 03:03,-1.5045215787772187e-10,안전
11290105,동소문동2가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11290122,안암동2가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11290121,안암동1가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11290125,안암동5가,2026-06-09 06:03,2026-06-09 03:03,-1.6685582121058286e-10,안전
11290112,삼선동2가,2026-06-09 06:03,2026-06-09 03:03,-1.6685582121058286e-10,안전
11290135,종암동,2026-06-09 06:03,2026-06-09 03:03,5.735403525344365e-11,안전
11290131,보문동2가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11290128,보문동6가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11290124,안암동4가,2026-06-09 06:03,2026-06-09 03:03,-4.319540282507907e-11,안전
11290123,안암동3가,2026-06-09 06:03,2026-06-09 03:03,1.0224438946325354e-07,안전
11290136,하월곡동,2026-06-09 06:03,2026-06-09 03:03,1.0164764236736644e-08,안전
11290113,삼선동3가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11290132,보문동3가,2026-06-09 06:03,2026-06-09 03:03,-1.6685582121058286e-10,안전
11290120,동선동5가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11290118,동선동3가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11290119,동선동4가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11290116,동선동1가,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11290104,동소문동1가,2026-06-09 06:03,2026-06-09 03:03,-1.6685582121058286e-10,안전
11290117,동선동2가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11290138,장위동,2026-06-09 06:03,2026-06-09 03:03,6.734932898735656e-08,안전
11290133,정릉동,2026-06-09 06:03,2026-06-09 03:03,0.0045874092539744836,안전
11290137,상월곡동,2026-06-09 06:03,2026-06-09 03:03,1.2627230605900673e-07,안전
11305101,미아동,2026-06-09 06:03,2026-06-09 03:03,0.004587405852461722,안전
11305104,우이동,2026-06-09 06:03,2026-06-09 03:03,0.004587409796954533,안전
11305102,번동,2026-06-09 06:03,2026-06-09 03:03,3.560455304229832e-06,안전
11305103,수유동,2026-06-09 06:03,2026-06-09 03:03,0.004587409510420193,안전
11320105,쌍문동,2026-06-09 06:03,2026-06-09 03:03,3.449415428991287e-06,안전
11320107,창동,2026-06-09 06:03,2026-06-09 03:03,3.7560174391456384e-06,안전
11320106,방학동,2026-06-09 06:03,2026-06-09 03:03,3.3640480974557937e-06,안전
11320108,도봉동,2026-06-09 06:03,2026-06-09 03:03,3.7509859869709127e-06,안전
11350103,공릉동,2026-06-09 06:03,2026-06-09 03:03,5.735403525344365e-11,안전
11350104,하계동,2026-06-09 06:03,2026-06-09 03:03,5.735403525344365e-11,안전
11350106,중계동,2026-06-09 06:03,2026-06-09 03:03,8.367477711503284e-10,안전
