F_SHIM,F_AREA,F_ZONE_NM,F_YR,FLOOD_SCALE,FLOOD_DEPTH_PER_AREA,FLOOD_RISK
0.1,124.37748885,서울특별시 은평구 응암동 585-32 지층 가호,2025,12.437748885000001,0.0008040040116954009,낮음
0.1,138.91886581,서울특별시 은평구 응암동 589-26 지층좌(시온교회),2025,13.891886581000001,0.0007198446331743774,낮음
0.1,113.05747604,서울특별시 은평구 신사동 349-3 지층,2025,11.305747604,0.0008845058593437888,낮음
0.1,137.04621347,서울특별시 은평구 역촌동 39-38 B2호,2025,13.704621347,0.0007296808679934119,낮음
0.1,176.03633172,서울특별시 은평구 역촌동 48-27 B02호,2025,17.603633172,0.0005680645524871427,낮음
0.1,151.26013224,서울특별시 은평구 역촌동 83-33 지층 101호,2025,15.126013224,0.0006611127368402201,낮음
0.1,144.42921961,서울특별시 은평구 응암동 587-25 지층 나호,2025,14.442921961,0.0006923806710998541,낮음
0.1,117.2006465,서울특별시 은평구 응암동 590-31 지하상가,2025,11.720064650000001,0.0008532376141798842,낮음
0.1,340.32581111,서울특별시 은평구 갈현동 400-7 1층,2025,34.032581111000006,0.00029383607336111813,낮음
0.1,309.77340918,서울특별시 은평구 갈현동 411-22,2025,30.977340918,0.0003228166041259307,낮음
0.1,127.04318907,서울특별시 은평구 응암동 751-16,2025,12.704318907000001,0.0007871338930645124,낮음
0.1,133.45395186,서울특별시 은평구 녹번동 156-21 지층,2025,13.345395186,0.0007493221340114763,낮음
0.1,130.02369267,서울특별시 은평구 응암동 584-56 지하 우측,2025,13.002369267,0.0007690906014629188,낮음
0.1,1172.84316732,서울특별시 은평구 증산동 188-12 상가 지하1층,2025,117.28431673200001,8.52628917372683e-05,낮음
0.1,157.49568314,서울특별시 은평구 역촌동 23-9 지하2호,2025,15.749568314000001,0.0006349380377055076,낮음
0.1,188.75746936,서울특별시 은평구 역촌동 11-53 B02호,2025,18.875746936,0.0005297803596279366,낮음
0.1,158.58751081,서울특별시 은평구 역촌동 11-38 지층 1호,2025,15.858751081000001,0.0006305666788591421,낮음
0.1,146.18340007,서울특별시 은평구 구산동 7-9 지하 101호,2025,14.618340007,0.0006840721993886785,낮음
0.1,214.37486083,서울특별시 은평구 진관동 335-4 진관동다육이농장,2025,21.437486083,0.00046647260603611707,낮음
0.1,373.41521048,서울특별시 은평구 대조동 79-5 지층 우측,2025,37.341521048,0.00026779841097382396,낮음
0.1,8595.92120969,서울특별시 은평구 녹번동 280-1 (상가동) 진로상가 B02호,2025,859.592120969,1.1633424453364246e-05,낮음
0.1,8.48274228,"서울특별시 은평구 불광동 310-253 1층, 두드림마을",2025,0.8482742280000001,0.011788640595126038,낮음
0.1,217.80396857,서울특별시 은평구 갈현동 478-6 B01호,2025,21.780396857,0.0004591284569172623,낮음
